Time,Moisture,Light,Temp
0/0/1970-0:0:0,1011,481,151
1/1/1970-0:0:6,1023,440,152
1/1/1970-0:0:12,1023,441,152
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1011,485,148
1/1/1970-0:0:6,1023,440,151
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1012,483,148
1/1/1970-0:0:6,1023,439,150
1/1/1970-0:0:12,1023,442,151
1/1/1970-0:0:18,1023,439,150
1/1/1970-0:0:24,1023,439,151
1/1/1970-0:0:30,1023,438,151
1/1/1970-0:0:36,1023,439,152
1/1/1970-0:0:42,1023,440,152
1/1/1970-0:0:48,1023,440,152
1/1/1970-0:0:54,1023,440,152
1/1/1970-0:1:0,1023,440,152
1/1/1970-0:1:6,1023,441,152
1/1/1970-0:1:12,1023,441,152
1/1/1970-0:1:18,1023,441,152
1/1/1970-0:1:24,1023,440,152
1/1/1970-0:1:30,1023,440,152
1/1/1970-0:1:36,1023,439,152
1/1/1970-0:1:42,1023,439,152
1/1/1970-0:1:48,1023,439,152
1/1/1970-0:1:54,1023,441,152
1/1/1970-0:2:0,1023,440,152
1/1/1970-0:2:6,1023,440,152
1/1/1970-0:2:12,1023,441,152
1/1/1970-0:2:18,1023,440,152
1/1/1970-0:2:24,1023,439,152
1/1/1970-0:2:30,1023,439,152
1/1/1970-0:2:36,1023,440,153
1/1/1970-0:2:42,1023,439,152
1/1/1970-0:2:48,1023,439,152
1/1/1970-0:2:54,1023,439,153
1/1/1970-0:3:0,1023,439,153
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1018,730,143
1/1/1970-0:0:6,1023,533,141
1/1/1970-0:0:12,1023,570,142
1/1/1970-0:0:18,1017,578,142
1/1/1970-0:0:24,1007,590,142
1/1/1970-0:0:30,1023,658,143
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1018,526,145
1/1/1970-0:0:6,1023,602,143
1/1/1970-0:0:12,1023,594,143
1/1/1970-0:0:18,1023,514,143
1/1/1970-0:0:24,1023,531,143
1/1/1970-0:0:30,1023,518,143
1/1/1970-0:0:36,1023,490,143
1/1/1970-0:0:42,1023,506,143
1/1/1970-0:0:48,1023,501,143
1/1/1970-0:0:54,1023,487,143
1/1/1970-0:1:0,1023,501,143
1/1/1970-0:1:6,1023,507,143
1/1/1970-0:1:12,1023,498,143
1/1/1970-0:1:18,1023,489,144
1/1/1970-0:1:24,1023,551,143
1/1/1970-0:1:30,1023,487,143
1/1/1970-0:1:36,1023,513,143
1/1/1970-0:1:42,1023,514,143
1/1/1970-0:1:48,1023,505,143
1/1/1970-0:1:54,1023,490,143
1/1/1970-0:2:0,1023,536,143
1/1/1970-0:2:7,1023,373,144
1/1/1970-0:2:13,1023,483,144
1/1/1970-0:2:19,1023,492,144
1/1/1970-0:2:25,1023,492,144
1/1/1970-0:2:31,1023,538,143
1/1/1970-0:2:37,1023,491,143
1/1/1970-0:2:43,1023,519,143
1/1/1970-0:2:49,1023,528,143
1/1/1970-0:2:55,1023,528,143
1/1/1970-0:3:1,1023,509,143
1/1/1970-0:3:7,1023,527,143
1/1/1970-0:3:13,1023,488,143
1/1/1970-0:3:19,1023,483,144
1/1/1970-0:3:25,1023,478,144
1/1/1970-0:3:31,1023,509,144
1/1/1970-0:3:37,1023,493,143
1/1/1970-0:3:43,1023,488,143
1/1/1970-0:3:49,1023,497,144
1/1/1970-0:3:55,1023,499,144
1/1/1970-0:4:1,1023,500,143
1/1/1970-0:4:7,1023,510,143
1/1/1970-0:4:13,1023,496,143
1/1/1970-0:4:19,1023,499,143
1/1/1970-0:4:25,1023,495,144
1/1/1970-0:4:31,1023,488,144
1/1/1970-0:4:37,1023,482,144
1/1/1970-0:4:43,1023,488,144
1/1/1970-0:4:49,1023,512,144
1/1/1970-0:4:55,1023,512,144
1/1/1970-0:5:1,1023,500,143
1/1/1970-0:5:7,1023,502,144
1/1/1970-0:5:13,1023,501,144
1/1/1970-0:5:19,1023,499,144
1/1/1970-0:5:25,1023,508,144
1/1/1970-0:5:31,1023,493,143
1/1/1970-0:5:37,1023,493,144
1/1/1970-0:5:43,1023,501,144
